tipo,nombre,valor,unidad,descripcion,fuente,observaciones
unidad_funcional,Unidad funcional,1,kg de estiércol fresco,Un kilogramo de estiércol fresco manejado; el flujo anual común solo define la escala operacional.,Propuesta de TFG,Base funcional para la comparación de los escenarios A y B.
supuesto,Equivalencia agua-masa,1,kg/L,El modelo trata 1 L de agua como 1 kg equivalente para construir masa_total_kg_eq.,scripts/compute_masa_etapas_escenarios.py; processed/masa_total_escenario_etapa.csv,Supuesto necesario para combinar agua_l y boniga_kg.
supuesto,Razón de masa A1→A2 mediante cenizas,aplicado,adimensional,La razón de masa húmeda entre el estiércol fresco que entra en A1 y el material precompostado que ingresa a A2 se infiere mediante materia seca y cenizas bajo el supuesto de conservación de cenizas.,Integración provisional M1–M2 de materia seca y cenizas,La masa de A2 es inferida y el complemento respecto a A1 no constituye una pérdida física medida ni un balance cerrado de agua o sólidos.
supuesto,Asignacion de sistemas IPCC por etapa,aplicado,adimensional,Cada escenario/etapa se asigna a un sistema de manejo de estiercol IPCC.,processed/ipcc_sistema_manejo_por_etapa.csv,Debe justificarse por etapa.
supuesto,Fracción de la corriente asignada al sistema de manejo (AWMS),1,adimensional,AWMS se fija en 1 para la corriente de masa específica que ya fue asignada a cada etapa y a su sistema de manejo.,Implementación vigente de las ecuaciones IPCC por etapa,AWMS = 1 se aplica a la corriente de masa ya asignada a cada etapa; no significa que el 100 % del estiércol total de la finca ingrese a esa etapa.
supuesto,Arquitectura híbrida de A2,IPCC–EMEP–Komakech,modelo,IPCC estima CH₄ y N₂O directo; Komakech aporta el proxy experimental aprobado de NH₃; EMEP/EEA aporta los proxies metodológicos aprobados provisionalmente de NO y N₂.,Decisión metodológica del TFG; IPCC 2019; EMEP/EEA 2023; Komakech et al. (2016),FracLeachMS efectivo es cero bajo las condiciones operativas modeladas; FracGasMS permanece como benchmark.
supuesto,Fracción de lixiviación específica de A2,0,adimensional,No se modeló una pérdida de N hacia el ambiente por lixiviación durante A2.,processed/ipcc_factores_manejo_overrides_etapa.csv; Vargas Sarmiento (2023); observación directa del investigador,No modifica el valor genérico de Composting – Passive Windrow.
advertencia,Unidad de n_ex_pct,% N total,porcentaje,"n_ex_pct representa el nitrógeno total integrado en porcentaje, no una masa de N.",processed/muestreos_integracion_interjornada_provisional.csv; processed/acv_parametros_escenario_etapa.csv,En A2 se conserva como benchmark experimental y no reinicializa el balance productivo.
metodo,Caracterización de emisiones y recursos energéticos,EF 3.1 e IMN,método de EICV,Emisiones elementales del manejo y de combustión caracterizadas con EF 3.1; electricidad agregada IMN.,processed/acv_factores_equivalencia.csv; DECISIONES_METODOLOGICAS_TFG.md,Total climático combinado; sin cadenas de fondo ecoinvent. SimaPro es verificación independiente opcional.
supuesto,Período operativo representativo,2026,año de observación,"Patrón observado el 25 de agosto de 2026, anualizado a 365 días; no medición continua anual.",Nota de campo del 25-08-2026,Consumos conservados; escenarios alternativos.
supuesto,Proxy temporal eléctrico,2025,año de factor de consumo,Último factor de consumo disponible en IMN; no representa actividad ocurrida en 2025.,"IMN, portada 16.ª edición 2026; interiores 15a edición / 2025, p. 4","0,0415 kg CO2-eq/kWh; no usar generación 2024 ni desagregar gases."
supuesto,Proxy sectorial del tractor,Residencial y agrícola/Diésel,categoría IMN,Operación agrícola con toma de fuerza 540E; transporte vial excluido.,"IMN, pp. 3–4; decisión metodológica del TFG",No existe categoría literal tractor; emisiones físicas caracterizadas con EF 3.1.
